Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price_Clean,Region_Type,Make_Origin,Car_Age
Toyota,Camry,2016,Gulf Arabic,Navy,Full,2.6,Gas,Automatic,Used,183000,Dammam,287490000.0,Urban,Japan,8
Toyota,Previa,2017,Gulf Arabic,White,Full,2.4,Gas,Automatic,Used,183000,Riyadh,287490000.0,Urban,Japan,7
Toyota,Prado,2012,Saudi,White,Full,4.0,Gas,Automatic,Used,240000,Jazan,287490000.0,Suburban,Japan,12
Toyota,Hiace,2016,Saudi,White,Standard,2.7,Gas,Manual,Used,184000,Riyadh,287490000.0,Urban,Japan,8
Porsche,Cayman,2008,Saudi,Blue,Full,2.0,Gas,Automatic,Used,66000,Dammam,287490000.0,Urban,Europe,16
Toyota,Hilux,2015,Saudi,White,Full,2.7,Gas,Manual,Used,184000,Aseer,287490000.0,Suburban,Japan,9
Mazda,6,2019,Saudi,White,Semi Full,2.5,Gas,Automatic,Used,92000,Qassim,287490000.0,Suburban,Japan,5
Kia,Cadenza,2020,Saudi,White,Standard,3.5,Gas,Automatic,Used,96000,Riyadh,287490000.0,Urban,Korea,4
Genesis,G330,2017,Other,Silver,Semi Full,3.3,Gas,Automatic,Used,68000,Qurayyat,287490000.0,Suburban,Korea,7
Chrysler,C300,2015,Other,White,Semi Full,3.6,Gas,Automatic,Used,109000,Al-Ahsa,287490000.0,Suburban,USA,9
Toyota,Furniture,2015,Saudi,White,Standard,2.7,Gas,Manual,Used,94000,Jeddah,287490000.0,Urban,Japan,9
Mercedes,S,2010,Other,Navy,Semi Full,5.5,Gas,Automatic,Used,228811,Al-Ahsa,287490000.0,Suburban,Europe,14
Kia,Carnival,2016,Saudi,Black,Full,3.3,Gas,Automatic,Used,120000,Riyadh,287490000.0,Urban,Korea,8
Chevrolet,Tahoe,2013,Saudi,Brown,Semi Full,5.3,Gas,Automatic,Used,250000,Riyadh,287490000.0,Urban,USA,11
Chevrolet,Caprice,2009,Saudi,White,Full,6.2,Gas,Automatic,Used,200,Jeddah,287490000.0,Urban,USA,15
Toyota,Hilux,2016,Gulf Arabic,White,Full,2.7,Gas,Manual,Used,55000,Riyadh,287490000.0,Urban,Japan,8
Hyundai,Kona,2020,Saudi,Grey,Semi Full,2.0,Gas,Automatic,Used,30271,Riyadh,287490000.0,Urban,Korea,4
Hyundai,H1,2018,Saudi,Blue,Semi Full,2.4,Gas,Automatic,Used,49000,Aseer,287490000.0,Suburban,Korea,6
HAVAL,H6,2020,Saudi,Blue,Full,1.5,Gas,Automatic,Used,9000,Riyadh,287490000.0,Urban,China,4
Nissan,X-Trail,2020,Saudi,Brown,Semi Full,2.5,Gas,Automatic,Used,24000,Al-Medina,287490000.0,Urban,Japan,4
Nissan,Patrol,2010,Saudi,Black,Full,5.6,Gas,Automatic,Used,346000,Riyadh,287490000.0,Urban,Japan,14
Lexus,ES,2013,Saudi,Black,Full,3.5,Gas,Automatic,Used,349000,Riyadh,287490000.0,Urban,Japan,11
Fiat,500,2019,Saudi,Black,Full,1.4,Gas,Automatic,Used,19000,Dammam,287490000.0,Urban,Europe,5
Ford,Expedition,2014,Saudi,Black,Standard,5.4,Gas,Automatic,Used,151000,Riyadh,287490000.0,Urban,USA,10
Toyota,Hilux,2013,Saudi,White,Full,2.7,Gas,Manual,Used,186,Al-Namas,287490000.0,Suburban,Japan,11
Hyundai,Tucson,2017,Saudi,Blue,Standard,1.6,Gas,Automatic,Used,17005,Jeddah,287490000.0,Urban,Korea,7
Toyota,Land Cruiser 70,2006,Saudi,Bronze,Standard,4.5,Gas,Manual,Used,239,Aseer,287490000.0,Suburban,Japan,18
Fiat,500,2019,Saudi,Another Color,Full,1.4,Gas,Automatic,Used,17000,Dammam,287490000.0,Urban,Europe,5
Ford,Victoria,2015,Saudi,Black,Semi Full,4.6,Gas,Automatic,Used,130000,Dammam,287490000.0,Urban,USA,9
Toyota,Furniture,2017,Saudi,White,Semi Full,2.7,Gas,Automatic,Used,270337,Dammam,287490000.0,Urban,Japan,7
Chevrolet,Impala,2016,Gulf Arabic,White,Full,3.5,Gas,Automatic,Used,152000,Riyadh,287490000.0,Urban,USA,8
Changan,CS75,2020,Saudi,Black,Full,1.8,Gas,Automatic,Used,11000,Dammam,287490000.0,Urban,China,4
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,Used,134007,Riyadh,287490000.0,Urban,Japan,7
GMC,Acadia,2016,Saudi,Black,Semi Full,3.6,Gas,Automatic,Used,148000,Riyadh,287490000.0,Urban,USA,8
Toyota,Hilux,2017,Saudi,White,Semi Full,2.7,Gas,Manual,Used,150000,Dammam,287490000.0,Urban,Japan,7
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,Used,133148,Riyadh,287490000.0,Urban,Japan,7
Genesis,Prestige Plus,2016,Saudi,White,Semi Full,3.8,Gas,Automatic,Used,132300,Riyadh,287490000.0,Urban,Korea,8
Toyota,FJ,2012,Saudi,Black,Full,4.0,Gas,Automatic,Used,35000,Riyadh,287490000.0,Urban,Japan,12
Toyota,Hilux,2013,Gulf Arabic,White,Semi Full,2.4,Diesel,Manual,Used,300000,Dammam,287490000.0,Urban,Japan,11
HAVAL,H6,2020,Saudi,Black,Semi Full,2.0,Gas,Automatic,Used,5000,Dammam,287490000.0,Urban,China,4
Chrysler,C300,2017,Saudi,Black,Standard,3.6,Gas,Automatic,Used,133000,Riyadh,287490000.0,Urban,USA,7
GMC,Sierra,2015,Saudi,Silver,Full,5.3,Gas,Automatic,Used,272,Tabouk,287490000.0,Urban,USA,9
INFINITI,QX,2017,Gulf Arabic,Black,Standard,2.0,Gas,Automatic,Used,54000,Dammam,287490000.0,Urban,Japan,7
Hyundai,H1,2018,Saudi,White,Semi Full,2.4,Gas,Automatic,Used,100,Aseer,287490000.0,Suburban,Korea,6
Mitsubishi,Pajero,2015,Saudi,White,Full,3.8,Gas,Automatic,Used,54000,Jeddah,287490000.0,Urban,Japan,9
Toyota,Rav4,2018,Saudi,White,Standard,2.5,Gas,Automatic,Used,163000,Riyadh,285436500.0,Urban,Japan,6
Audi,A3,2016,Saudi,Red,Semi Full,1.4,Gas,Automatic,Used,70278,Riyadh,285436500.0,Urban,Europe,8
Toyota,Rav4,2018,Saudi,White,Standard,2.5,Gas,Automatic,Used,173000,Riyadh,285436500.0,Urban,Japan,6
Toyota,Innova,2017,Saudi,White,Standard,2.7,Gas,Automatic,Used,57482,Riyadh,285436500.0,Urban,Japan,7
Ford,Taurus,2015,Saudi,Black,Semi Full,3.5,Gas,Automatic,Used,154706,Riyadh,285436500.0,Urban,USA,9
Nissan,X-Trail,2018,Saudi,Brown,Standard,2.5,Gas,Automatic,Used,30507,Riyadh,285436500.0,Urban,Japan,6
INFINITI,Q,2015,Saudi,Blue,Semi Full,2.0,Gas,Automatic,Used,74000,Riyadh,285436500.0,Urban,Japan,9
Toyota,Innova,2017,Saudi,White,Standard,2.7,Gas,Automatic,Used,106377,Riyadh,285436500.0,Urban,Japan,7
Isuzu,D-MAX,2018,Saudi,White,Standard,2.5,Diesel,Manual,Used,52849,Riyadh,285436500.0,Urban,Japan,6
Jeep,Grand Cherokee,2015,Saudi,Silver,Standard,3.6,Gas,Automatic,Used,148,Jeddah,285436500.0,Urban,USA,9
Hyundai,Sonata,2018,Saudi,Black,Semi Full,2.4,Gas,Automatic,Used,84795,Riyadh,285436500.0,Urban,Korea,6
Toyota,Hiace,2016,Saudi,White,Standard,2.7,Gas,Manual,Used,218000,Riyadh,285436500.0,Urban,Japan,8
Mazda,6,2019,Saudi,Grey,Standard,2.5,Gas,Automatic,Used,64970,Riyadh,285436500.0,Urban,Japan,5
Hyundai,Senta fe,2016,Saudi,White,Full,3.3,Gas,Automatic,Used,157000,Al-Ahsa,283383000.0,Suburban,Korea,8
Ford,Taurus,2015,Other,Black,Full,3.5,Gas,Automatic,Used,117000,Dammam,283383000.0,Urban,USA,9
Volkswagen,Touareg,2015,Saudi,Brown,Semi Full,4.0,Gas,Automatic,Used,183000,Qassim,283383000.0,Suburban,Europe,9
Toyota,Previa,2017,Gulf Arabic,White,Standard,2.4,Gas,Automatic,Used,139000,Riyadh,283383000.0,Urban,Japan,7
Ford,Taurus,2017,Saudi,Grey,Standard,3.5,Gas,Automatic,Used,123000,Dammam,283383000.0,Urban,USA,7
Toyota,Land Cruiser 70,2003,Saudi,Brown,Standard,1.6,Gas,Manual,Used,230000,Riyadh,283383000.0,Urban,Japan,21
Honda,Accord,2016,Gulf Arabic,Red,Semi Full,2.4,Gas,Automatic,Used,80000,Riyadh,283383000.0,Urban,Japan,8
Toyota,Land Cruiser 70,2014,Saudi,Another Color,Semi Full,4.0,Gas,Manual,Used,70000,Dammam,283383000.0,Urban,Japan,10
Ford,Taurus,2015,Other,Red,Full,3.5,Gas,Automatic,Used,122000,Dammam,283383000.0,Urban,USA,9
Toyota,Innova,2016,Saudi,White,Full,2.7,Gas,Automatic,Used,84000,Riyadh,283383000.0,Urban,Japan,8
MINI,Countryman,2016,Other,Silver,Full,1.7,Gas,Automatic,Used,91000,Al-Ahsa,283383000.0,Suburban,Europe,8
Dodge,Charger,2016,Saudi,Grey,Standard,1.0,Gas,Automatic,Used,151000,Riyadh,283383000.0,Urban,USA,8
Chevrolet,Suburban,2013,Saudi,Silver,Full,5.3,Gas,Automatic,Used,283000,Dammam,283383000.0,Urban,USA,11
Ford,Edge,2016,Saudi,White,Semi Full,3.5,Gas,Automatic,Used,198000,Al-Ahsa,283383000.0,Suburban,USA,8
Hyundai,Senta fe,2018,Saudi,White,Standard,3.3,Gas,Automatic,Used,41542,Riyadh,283383000.0,Urban,Korea,6
Ford,Taurus,2017,Saudi,Silver,Standard,3.5,Gas,Automatic,Used,131408,Dammam,283383000.0,Urban,USA,7
Toyota,Hilux,2017,Saudi,White,Full,2.7,Gas,Manual,Used,119000,Najran,283383000.0,Suburban,Japan,7
Toyota,Corolla,2020,Saudi,Another Color,Semi Full,1.6,Gas,Automatic,Used,39000,Jeddah,283383000.0,Urban,Japan,4
Honda,Accord,2015,Saudi,White,Standard,2.4,Gas,Automatic,Used,85000,Dammam,283383000.0,Urban,Japan,9
Chevrolet,Malibu,2017,Gulf Arabic,Black,Full,2.0,Gas,Automatic,Used,62000,Riyadh,283383000.0,Urban,USA,7
Toyota,Furniture,2016,Gulf Arabic,Grey,Semi Full,2.7,Gas,Automatic,Used,211000,Riyadh,283383000.0,Urban,Japan,8
Chevrolet,Caprice,2015,Saudi,Black,Standard,6.0,Gas,Automatic,Used,264000,Riyadh,283383000.0,Urban,USA,9
Kia,Carnival,2018,Saudi,White,Standard,3.3,Gas,Automatic,Used,100000,Al-Ahsa,283383000.0,Suburban,Korea,6
MINI,Countryman,2017,Other,Grey,Full,1.4,Gas,Manual,Used,100000,Jeddah,283383000.0,Urban,Europe,7
Toyota,Hiace,2016,Other,White,Standard,2.7,Gas,Manual,Used,99999,Riyadh,283383000.0,Urban,Japan,8
Toyota,Camry,2016,Saudi,Grey,Full,2.5,Gas,Automatic,Used,176000,Al-Ahsa,283383000.0,Suburban,Japan,8
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,Used,143594,Riyadh,283383000.0,Urban,Japan,7
Hyundai,Senta fe,2016,Other,Navy,Semi Full,3.3,Diesel,Automatic,Used,50100,Riyadh,283383000.0,Urban,Korea,8
Toyota,Hilux,2016,Gulf Arabic,White,Standard,2.7,Gas,Manual,Used,129000,Dammam,283383000.0,Urban,Japan,8
Honda,Accord,2016,Saudi,White,Standard,2.4,Gas,Automatic,Used,61000,Dammam,283383000.0,Urban,Japan,8
HAVAL,H6,2020,Saudi,Black,Full,2.0,Gas,Automatic,Used,2000,Jeddah,283383000.0,Urban,China,4
Toyota,Furniture,2013,Saudi,Silver,Full,2.7,Gas,Automatic,Used,182000,Jeddah,281329500.0,Urban,Japan,11
Mazda,CX9,2015,Saudi,White,Full,3.7,Gas,Automatic,Used,217162,Riyadh,281329500.0,Urban,Japan,9
Kia,Sorento,2016,Saudi,White,Full,3.5,Gas,Automatic,Used,93914,Riyadh,281329500.0,Urban,Korea,8
Chevrolet,Impala,2019,Gulf Arabic,Black,Standard,3.6,Gas,Automatic,Used,85000,Riyadh,281329500.0,Urban,USA,5
Chevrolet,Tahoe,2014,Saudi,Golden,Semi Full,5.3,Gas,Automatic,Used,157000,Al-Jouf,281329500.0,Suburban,USA,10
Isuzu,D-MAX,2018,Saudi,White,Standard,2.5,Diesel,Manual,Used,203957,Riyadh,281329500.0,Urban,Japan,6
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,Used,192692,Riyadh,281329500.0,Urban,Japan,7
Genesis,Royal,2015,Saudi,Brown,Full,3.8,Gas,Automatic,Used,148000,Dammam,279276000.0,Urban,Korea,9
Toyota,Innova,2018,Saudi,Grey,Standard,2.7,Gas,Automatic,Used,91440,Jeddah,279276000.0,Urban,Japan,6
Toyota,Land Cruiser,2008,Saudi,White,Full,5.7,Gas,Automatic,Used,476000,Dammam,279276000.0,Urban,Japan,16
Honda,Accord,2015,Saudi,Red,Full,1.5,Gas,Automatic,Used,137000,Dammam,279276000.0,Urban,Japan,9
Ford,Taurus,2018,Saudi,Blue,Standard,3.5,Gas,Automatic,Used,91769,Riyadh,279276000.0,Urban,USA,6
Mitsubishi,Pajero,2017,Saudi,White,Full,3.5,Gas,Automatic,Used,111000,Dammam,279276000.0,Urban,Japan,7
Hyundai,Sonata,2019,Saudi,White,Standard,2.4,Gas,Automatic,Used,49515,Riyadh,279276000.0,Urban,Korea,5
Hyundai,Tucson,2019,Saudi,Silver,Semi Full,2.0,Gas,Automatic,Used,24000,Riyadh,279276000.0,Urban,Korea,5
Mazda,CX9,2016,Gulf Arabic,White,Full,3.7,Gas,Automatic,Used,193000,Dammam,279276000.0,Urban,Japan,8
Honda,Civic,2020,Saudi,Silver,Semi Full,1.6,Gas,Automatic,Used,25000,Dammam,279276000.0,Urban,Japan,4
Honda,Accord,2018,Saudi,White,Standard,1.5,Gas,Automatic,Used,129000,Riyadh,279276000.0,Urban,Japan,6
Ford,Expedition,2015,Saudi,Green,Full,5.4,Gas,Automatic,Used,228000,Jeddah,279276000.0,Urban,USA,9
Hyundai,Sonata,2019,Gulf Arabic,White,Semi Full,2.4,Gas,Automatic,Used,28000,Riyadh,279276000.0,Urban,Korea,5
Ford,Edge,2017,Saudi,White,Standard,3.5,Gas,Automatic,Used,89000,Jeddah,279276000.0,Urban,USA,7
Nissan,Bus Urvan,2020,Saudi,White,Standard,3.5,Gas,Manual,Used,27000,Riyadh,279276000.0,Urban,Japan,4
Kia,Sportage,2016,Other,White,Standard,2.0,Diesel,Automatic,Used,55000,Riyadh,279276000.0,Urban,Korea,8
Mazda,6,2019,Saudi,Brown,Standard,2.5,Gas,Automatic,Used,143000,Jubail,279276000.0,Urban,Japan,5
Nissan,X-Trail,2018,Saudi,Black,Standard,2.5,Gas,Automatic,Used,78794,Jeddah,279276000.0,Urban,Japan,6
Chevrolet,Malibu,2018,Saudi,Black,Semi Full,2.5,Gas,Automatic,Used,56500,Qassim,279276000.0,Suburban,USA,6
Hyundai,Sonata,2018,Saudi,Black,Semi Full,2.5,Gas,Automatic,Used,84000,Riyadh,279276000.0,Urban,Korea,6
Toyota,Innova,2018,Saudi,Grey,Full,2.7,Gas,Automatic,Used,149000,Dammam,279276000.0,Urban,Japan,6
Kia,Cadenza,2020,Saudi,White,Standard,3.5,Gas,Automatic,Used,38000,Riyadh,279276000.0,Urban,Korea,4
Hyundai,Sonata,2016,Gulf Arabic,Blue,Full,2.4,Gas,Automatic,Used,76000,Riyadh,279276000.0,Urban,Korea,8
Toyota,Hilux,2016,Gulf Arabic,White,Full,2.7,Gas,Manual,Used,161000,Arar,279276000.0,Suburban,Japan,8
Ford,Taurus,2017,Saudi,Another Color,Standard,3.5,Gas,Automatic,Used,153889,Dammam,279276000.0,Urban,USA,7
Nissan,X-Trail,2018,Saudi,Brown,Standard,2.5,Gas,Automatic,Used,30000,Riyadh,279276000.0,Urban,Japan,6
Kia,Optima,2016,Saudi,Another Color,Full,2.4,Gas,Automatic,Used,161000,Dammam,279276000.0,Urban,Korea,8
Dodge,Challenger,2014,Saudi,Silver,Full,5.7,Gas,Automatic,Used,155000,Riyadh,279276000.0,Urban,USA,10
Toyota,Hilux,2016,Gulf Arabic,White,Full,2.7,Gas,Manual,Used,220000,Riyadh,279276000.0,Urban,Japan,8
Toyota,Camry,2016,Gulf Arabic,White,Full,2.4,Gas,Automatic,Used,75000,Riyadh,279276000.0,Urban,Japan,8
Audi,A3,2016,Saudi,Red,Semi Full,2.0,Gas,Automatic,Used,70000,Riyadh,279276000.0,Urban,Europe,8
Kia,Sportage,2019,Saudi,Golden,Standard,1.6,Gas,Automatic,Used,43000,Khobar,279276000.0,Urban,Korea,5
Toyota,Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,Used,97000,Dammam,279276000.0,Urban,Japan,7
Toyota,Camry,2017,Saudi,White,Standard,2.4,Gas,Automatic,Used,97000,Riyadh,279276000.0,Urban,Japan,7
Toyota,Camry,2017,Gulf Arabic,White,Full,2.5,Gas,Automatic,Used,61811,Qassim,279276000.0,Suburban,Japan,7
Honda,Accord,2016,Gulf Arabic,Grey,Semi Full,2.4,Gas,Automatic,Used,129000,Dammam,279276000.0,Urban,Japan,8
Nissan,Altima,2018,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,Used,48000,Riyadh,279276000.0,Urban,Japan,6
Nissan,Altima,2018,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,Used,48096,Riyadh,279276000.0,Urban,Japan,6
Honda,Accord,2017,Saudi,White,Semi Full,2.5,Gas,Automatic,Used,173000,Riyadh,279276000.0,Urban,Japan,7
Kia,Cadenza,2018,Saudi,Silver,Semi Full,3.5,Gas,Automatic,Used,172000,Riyadh,279276000.0,Urban,Korea,6
Hyundai,Sonata,2019,Saudi,White,Full,2.4,Gas,Automatic,Used,48000,Riyadh,279276000.0,Urban,Korea,5
Honda,Accord,2016,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,Used,106214,Riyadh,277222500.0,Urban,Japan,8
Toyota,Rav4,2017,Saudi,Grey,Standard,2.5,Gas,Automatic,Used,235614,Riyadh,277222500.0,Urban,Japan,7
Hyundai,Sonata,2018,Other,White,Full,2.0,Gas,Automatic,Used,65239,Qassim,275169000.0,Suburban,Korea,6
Mitsubishi,Pajero,2017,Saudi,White,Full,3.5,Gas,Automatic,Used,136000,Dammam,275169000.0,Urban,Japan,7
GMC,Yukon,2012,Saudi,Silver,Standard,5.3,Gas,Automatic,Used,235000,Tabouk,275169000.0,Urban,USA,12
Ford,Taurus,2015,Other,Black,Full,3.5,Gas,Automatic,Used,90000,Dammam,275169000.0,Urban,USA,9
Ford,Taurus,2016,Other,White,Semi Full,3.5,Gas,Automatic,Used,125000,Yanbu,275169000.0,Suburban,USA,8
Toyota,Innova,2018,Saudi,Another Color,Semi Full,2.7,Gas,Automatic,Used,340000,Riyadh,275169000.0,Urban,Japan,6
Kia,Sportage,2020,Saudi,Navy,Full,1.6,Gas,Automatic,Used,7688,Riyadh,275169000.0,Urban,Korea,4
Toyota,Camry,2019,Saudi,Brown,Standard,2.5,Gas,Automatic,Used,47000,Riyadh,275169000.0,Urban,Japan,5
Nissan,KICKS,2020,Saudi,Another Color,Standard,1.5,Gas,Automatic,Used,3990,Jeddah,275169000.0,Urban,Japan,4
Kia,Optima,2018,Gulf Arabic,White,Standard,2.4,Gas,Automatic,Used,48000,Riyadh,275169000.0,Urban,Korea,6
Chevrolet,Impala,2018,Gulf Arabic,Black,Standard,3.6,Gas,Automatic,Used,112000,Dammam,275169000.0,Urban,USA,6
Honda,Civic,2019,Saudi,White,Semi Full,1.6,Gas,Automatic,Used,41000,Jeddah,275169000.0,Urban,Japan,5
Mitsubishi,ASX,2020,Saudi,White,Full,2.0,Gas,Automatic,Used,22000,Riyadh,275169000.0,Urban,Japan,4
Nissan,Altima,2017,Saudi,White,Semi Full,2.5,Gas,Automatic,Used,40000,Riyadh,275169000.0,Urban,Japan,7
Chevrolet,Impala,2019,Saudi,White,Standard,3.6,Gas,Automatic,Used,178000,Riyadh,275169000.0,Urban,USA,5
Mitsubishi,Pajero,2016,Saudi,Grey,Full,3.8,Gas,Automatic,Used,91000,Jeddah,275169000.0,Urban,Japan,8
Nissan,Maxima,2016,Saudi,Blue,Standard,3.5,Gas,Automatic,Used,84000,Jeddah,275169000.0,Urban,Japan,8
Hyundai,Kona,2020,Saudi,White,Semi Full,2.0,Gas,Automatic,Used,21000,Riyadh,275169000.0,Urban,Korea,4
Ford,Flex,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,Used,110000,Riyadh,275169000.0,Urban,USA,7
Toyota,Camry,2016,Saudi,White,Full,2.5,Gas,Automatic,Used,145000,Al-Ahsa,275169000.0,Suburban,Japan,8
Toyota,Innova,2018,Saudi,White,Standard,2.7,Gas,Automatic,Used,275916,Dammam,275169000.0,Urban,Japan,6
Honda,Accord,2016,Saudi,White,Semi Full,2.5,Gas,Automatic,Used,92034,Riyadh,275169000.0,Urban,Japan,8
Honda,Accord,2016,Saudi,White,Full,3.5,Gas,Automatic,Used,183000,Al-Ahsa,275169000.0,Suburban,Japan,8
Ford,Taurus,2017,Other,Grey,Semi Full,3.5,Gas,Automatic,Used,131000,Dammam,275169000.0,Urban,USA,7
Toyota,Innova,2018,Saudi,Grey,Standard,2.7,Gas,Automatic,Used,70000,Jeddah,275169000.0,Urban,Japan,6
Toyota,Innova,2017,Saudi,White,Full,2.7,Gas,Automatic,Used,130000,Jeddah,275169000.0,Urban,Japan,7
Ford,Expedition,2013,Saudi,Grey,Full,5.4,Gas,Manual,Used,225299,Riyadh,273472809.0,Urban,USA,11
GMC,Sierra,2014,Saudi,Brown,Semi Full,5.3,Gas,Automatic,Used,155000,Riyadh,273115500.0,Urban,USA,10
Mitsubishi,Pajero,2017,Saudi,White,Semi Full,3.5,Gas,Automatic,Used,161709,Riyadh,273115500.0,Urban,Japan,7
Toyota,Avalon,2015,Saudi,White,Standard,3.5,Gas,Automatic,Used,120000,Dammam,273115500.0,Urban,Japan,9
Hyundai,Kona,2020,Saudi,White,Standard,2.0,Gas,Automatic,Used,10239,Riyadh,273115500.0,Urban,Korea,4
Mazda,6,2018,Saudi,Red,Standard,2.5,Gas,Automatic,Used,68263,Riyadh,273115500.0,Urban,Japan,6
Hyundai,Azera,2016,Saudi,White,Full,3.0,Gas,Automatic,Used,91747,Riyadh,273115500.0,Urban,Korea,8
Toyota,Camry,2017,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,Used,119550,Riyadh,273115500.0,Urban,Japan,7
Ford,Edge,2016,Saudi,Black,Standard,3.5,Gas,Automatic,Used,105344,Riyadh,273115500.0,Urban,USA,8
Toyota,Furniture,2015,Saudi,Black,Standard,2.7,Gas,Automatic,Used,164277,Riyadh,273115500.0,Urban,Japan,9
Honda,Accord,2016,Gulf Arabic,Red,Semi Full,2.4,Gas,Automatic,Used,83000,Riyadh,271062000.0,Urban,Japan,8
Toyota,Camry,2018,Saudi,White,Full,3.5,Gas,Automatic,Used,111,Riyadh,271062000.0,Urban,Japan,6
Toyota,Hilux,2015,Saudi,White,Full,2.7,Gas,Manual,Used,328000,Qassim,271062000.0,Suburban,Japan,9
Honda,Accord,2016,Gulf Arabic,Golden,Semi Full,2.4,Gas,Automatic,Used,75000,Riyadh,271062000.0,Urban,Japan,8
Ford,Flex,2015,Saudi,Black,Full,1.0,Gas,Automatic,Used,81000,Riyadh,271062000.0,Urban,USA,9
Nissan,Bus Urvan,2017,Saudi,White,Standard,2.6,Gas,Manual,Used,104000,Riyadh,271062000.0,Urban,Japan,7
Toyota,Hilux,2017,Saudi,White,Semi Full,2.7,Gas,Manual,Used,384000,Dammam,271062000.0,Urban,Japan,7
Toyota,Hilux,2016,Saudi,White,Semi Full,2.7,Gas,Automatic,Used,211000,Makkah,271062000.0,Urban,Japan,8
Toyota,Camry,2017,Saudi,White,Standard,2.5,Gas,Automatic,Used,125000,Dammam,271062000.0,Urban,Japan,7
Mazda,CX3,2020,Saudi,Blue,Standard,2.0,Gas,Automatic,Used,14501,Riyadh,271062000.0,Urban,Japan,4
Toyota,Rav4,2018,Saudi,White,Standard,2.5,Gas,Automatic,Used,134000,Dammam,271062000.0,Urban,Japan,6
Toyota,Hilux,2018,Saudi,White,Standard,2.7,Gas,Manual,Used,59000,Jeddah,271062000.0,Urban,Japan,6
Toyota,Land Cruiser 70,2012,Gulf Arabic,Brown,Semi Full,4.0,Gas,Manual,Used,286000,Tabouk,271062000.0,Urban,Japan,12
Toyota,Rav4,2018,Saudi,White,Standard,2.5,Gas,Automatic,Used,153000,Riyadh,271062000.0,Urban,Japan,6
Kia,Cadenza,2016,Other,Another Color,Full,3.0,Gas,Automatic,Used,33212,Qassim,271062000.0,Suburban,Korea,8
Honda,Accord,2016,Gulf Arabic,Black,Semi Full,2.4,Gas,Automatic,Used,68000,Riyadh,271062000.0,Urban,Japan,8
Nissan,KICKS,2020,Saudi,Grey,Semi Full,1.6,Gas,Automatic,Used,200,Riyadh,271062000.0,Urban,Japan,4
Toyota,Camry,2017,Saudi,Bronze,Standard,2.5,Gas,Automatic,Used,90000,Dammam,271062000.0,Urban,Japan,7
Lexus,ES,2013,Saudi,Black,Full,1.6,Gas,Automatic,Used,263000,Dammam,271062000.0,Urban,Japan,11
Mazda,CX9,2015,Saudi,Brown,Full,1.9,Gas,Automatic,Used,274000,Riyadh,271062000.0,Urban,Japan,9
Honda,Accord,2016,Gulf Arabic,Grey,Semi Full,2.4,Gas,Automatic,Used,106000,Riyadh,271062000.0,Urban,Japan,8
Jeep,Compass,2019,Saudi,Brown,Semi Full,2.4,Gas,Automatic,Used,43834,Riyadh,271062000.0,Urban,USA,5
Nissan,Altima,2018,Gulf Arabic,Silver,Semi Full,2.5,Gas,Automatic,Used,32000,Riyadh,271062000.0,Urban,Japan,6
MINI,Copper,2016,Saudi,Navy,Full,5.7,Gas,Automatic,Used,105000,Jeddah,269008500.0,Urban,Europe,8
MG,RX5,2020,Saudi,Silver,Full,2.0,Gas,Automatic,Used,7855,Riyadh,269008500.0,Urban,China,4
Toyota,Land Cruiser,2004,Saudi,Black,Standard,4.0,Gas,Manual,Used,440000,Dammam,266955000.0,Urban,Japan,20
Mercedes,S,2008,Saudi,Black,Full,1.0,Gas,Automatic,Used,190,Aseer,266955000.0,Suburban,Europe,16
Hyundai,Senta fe,2017,Saudi,Another Color,Semi Full,3.3,Gas,Automatic,Used,147,Makkah,266955000.0,Urban,Korea,7
Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Manual,Used,174172,Dammam,266955000.0,Urban,Japan,8
Kia,Cadenza,2018,Saudi,Navy,Full,3.3,Gas,Automatic,Used,148884,Riyadh,266955000.0,Urban,Korea,6
Ford,Fusion,2017,Other,White,Full,2.0,Diesel,Automatic,Used,55000,Riyadh,266955000.0,Urban,USA,7
MG,RX5,2020,Saudi,Red,Full,2.0,Gas,Automatic,Used,4500,Abha,266955000.0,Suburban,China,4
Toyota,Hiace,2016,Saudi,White,Standard,2.4,Gas,Manual,Used,210000,Dammam,266955000.0,Urban,Japan,8
BMW,The 7,2011,Saudi,White,Full,3.0,Gas,Automatic,Used,115,Jeddah,266955000.0,Urban,Europe,13
Chevrolet,Impala,2016,Gulf Arabic,White,Standard,3.5,Gas,Automatic,Used,114000,Riyadh,266955000.0,Urban,USA,8
INFINITI,QX,2014,Saudi,Brown,Full,3.7,Gas,Automatic,Used,32000,Jeddah,266955000.0,Urban,Japan,10
